id_daerah_magang,nama_daerah,jenis_daerah,id_provinsi
392,Morowali,Kabupaten,26
393,Morowali Utara,Kabupaten,26
394,Parigi Moutong,Kabupaten,26
395,Poso,Kabupaten,26
396,Sigi,Kabupaten,26
397,Tojo Una-Una,Kabupaten,26
398,Tolitoli,Kabupaten,26
399,Makassar,Kota,27
400,Palopo,Kota,27
401,Parepare,Kota,27
402,Bantaeng,Kabupaten,27
403,Barru,Kabupaten,27
404,Bone,Kabupaten,27
405,Bulukumba,Kabupaten,27
406,Enrekang,Kabupaten,27
407,Gowa,Kabupaten,27
408,Jeneponto,Kabupaten,27
409,Kepulauan Selayar,Kabupaten,27
410,Luwu,Kabupaten,27
411,Luwu Timur,Kabupaten,27
412,Luwu Utara,Kabupaten,27
413,Maros,Kabupaten,27
414,Pangkajene dan Kepulauan,Kabupaten,27
415,Pinrang,Kabupaten,27
416,Sidenreng Rappang,Kabupaten,27
417,Sinjai,Kabupaten,27
418,Soppeng,Kabupaten,27
419,Takalar,Kabupaten,27
420,Tana Toraja,Kabupaten,27
421,Toraja Utara,Kabupaten,27
422,Wajo,Kabupaten,27
423,Baubau,Kota,28
424,Kendari,Kota,28
425,Bombana,Kabupaten,28
426,Buton,Kabupaten,28
427,Buton Selatan,Kabupaten,28
428,Buton Tengah,Kabupaten,28
429,Buton Utara,Kabupaten,28
430,Kolaka,Kabupaten,28
431,Kolaka Timur,Kabupaten,28
432,Kolaka Utara,Kabupaten,28
433,Konawe,Kabupaten,28
434,Konawe Kepulauan,Kabupaten,28
435,Konawe Selatan,Kabupaten,28
436,Konawe Utara,Kabupaten,28
437,Muna,Kabupaten,28
438,Muna Barat,Kabupaten,28
439,Wakatobi,Kabupaten,28
440,Gorontalo,Kota,29
441,Boalemo,Kabupaten,29
442,Bone Bolango,Kabupaten,29
443,Gorontalo,Kabupaten,29
444,Gorontalo Utara,Kabupaten,29
445,Pohuwato,Kabupaten,29
446,Majene,Kabupaten,30
447,Mamasa,Kabupaten,30
448,Mamuju,Kabupaten,30
449,Mamuju Tengah,Kabupaten,30
450,Pasangkayu,Kabupaten,30
451,Polewali Mandar,Kabupaten,30
452,Ambon,Kota,31
453,Tual,Kota,31
454,Buru,Kabupaten,31
455,Buru Selatan,Kabupaten,31
456,Kepulauan Aru,Kabupaten,31
457,Maluku Barat Daya,Kabupaten,31
458,Maluku Tengah,Kabupaten,31
459,Maluku Tenggara,Kabupaten,31
460,Maluku Tenggara Barat,Kabupaten,31
461,Seram Bagian Barat,Kabupaten,31
462,Seram Bagian Timur,Kabupaten,31
463,Ternate,Kota,32
464,Tidore Kepulauan,Kota,32
465,Halmahera Barat,Kabupaten,32
466,Halmahera Tengah,Kabupaten,32
467,Halmahera Timur,Kabupaten,32
468,Halmahera Selatan,Kabupaten,32
469,Halmahera Utara,Kabupaten,32
470,Kepulauan Sula,Kabupaten,32
471,Pulau Morotai,Kabupaten,32
472,Pulau Taliabu,Kabupaten,32
473,Jayapura,Kota,33
474,Biak Numfor,Kabupaten,33
475,Jayapura,Kabupaten,33
476,Keerom,Kabupaten,33
477,Kepulauan Yapen,Kabupaten,33
478,Sarmi,Kabupaten,33
479,Supiori,Kabupaten,33
480,Waropen,Kabupaten,33
481,Mamberamo Raya,Kabupaten,33
482,Manokwari,Kota,34
483,Fakfak,Kabupaten,34
484,Kaimana,Kabupaten,34
485,Manokwari,Kabupaten,34
486,Manokwari Selatan,Kabupaten,34
487,Pegunungan Arfak,Kabupaten,34
488,Teluk Bintuni,Kabupaten,34
489,Teluk Wondama,Kabupaten,34
490,Merauke,Kota,35
491,Asmat,Kabupaten,35
492,Boven Digoel,Kabupaten,35
493,Mappi,Kabupaten,35
494,Merauke,Kabupaten,35
495,Nabire,Kota,36
496,Deiyai,Kabupaten,36
497,Dogiyai,Kabupaten,36
498,Intan Jaya,Kabupaten,36
499,Mimika,Kabupaten,36
500,Nabire,Kabupaten,36
501,Paniai,Kabupaten,36
502,Puncak,Kabupaten,36
503,Puncak Jaya,Kabupaten,37
504,Jayawijaya,Kabupaten,37
505,Lanny Jaya,Kabupaten,37
506,Nduga,Kabupaten,37
507,Pegunungan Bintang,Kabupaten,37
508,Tolikara,Kabupaten,37
509,Yahukimo,Kabupaten,37
510,Yalimo,Kabupaten,37
511,Sorong,Kota,38
512,Maybrat,Kabupaten,38
513,Raja Ampat,Kabupaten,38
514,Sorong,Kabupaten,38
